Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
BE,2011,2011,2011,1,0,1,Import,4,Afghanistan,AFG,0,World,WLD,,,,,,,,1,Food and beverages,1,No Quantity,,,,,,,632778127,,,0
BE,2011,2011,2011,1,0,2,Export,4,Afghanistan,AFG,0,World,WLD,,,,,,,,1,Food and beverages,1,No Quantity,,,,,,,140887449,,,0
BE,2011,2011,2011,1,0,1,Import,8,Albania,ALB,0,World,WLD,,,,,,,,1,Food and beverages,1,No Quantity,,,,,,,773334715,,,0
BE,2011,2011,2011,1,0,2,Export,8,Albania,ALB,0,World,WLD,,,,,,,,1,Food and beverages,1,No Quantity,,,,,,,73740061,,,0
BE,2011,2011,2011,1,0,1,Import,12,Algeria,DZA,0,World,WLD,,,,,,,,1,Food and beverages,1,No Quantity,,,,,,,8836403415,,,0
BE,2011,2011,2011,1,0,2,Export,12,Algeria,DZA,0,World,WLD,,,,,,,,1,Food and beverages,1,No Quantity,,,,,,,355724731,,,0
BE,2011,2011,2011,1,0,1,Import,20,Andorra,AND,0,World,WLD,,,,,,,,1,Food and beverages,1,No Quantity,,,,,,,314189687,,,0
BE,2011,2011,2011,1,0,2,Export,20,Andorra,AND,0,World,WLD,,,,,,,,1,Food and beverages,1,No Quantity,,,,,,,611253,,,0
BE,2011,2011,2011,1,0,1,Import,24,Angola,AGO,0,World,WLD,,,,,,,,1,Food and beverages,1,No Quantity,,,,,,,3801941600,,,0
BE,2011,2011,2011,1,0,2,Export,24,Angola,AGO,0,World,WLD,,,,,,,,1,Food and beverages,1,No Quantity,,,,,,,25710296,,,0
BE,2011,2011,2011,1,0,1,Import,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,1,Food and beverages,1,No Quantity,,,,,,,107981512,,,0
BE,2011,2011,2011,1,0,2,Export,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,1,Food and beverages,1,No Quantity,,,,,,,3630679,,,0
BE,2011,2011,2011,1,0,3,Re-Export,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,1,Food and beverages,1,No Quantity,,,,,,,1676851,,,0
BE,2011,2011,2011,1,0,1,Import,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,1,Food and beverages,1,No Quantity,,,,,,,1077339473,,,0
BE,2011,2011,2011,1,0,2,Export,31,Azerbaijan,AZE,0,World,WLD,,,,,,,,1,Food and beverages,1,No Quantity,,,,,,,701255238,,,0
BE,2011,2011,2011,1,0,1,Import,32,Argentina,ARG,0,World,WLD,,,,,,,,1,Food and beverages,1,No Quantity,,,,,,,1594828561,,,0
BE,2011,2011,2011,1,0,2,Export,32,Argentina,ARG,0,World,WLD,,,,,,,,1,Food and beverages,1,No Quantity,,,,,,,28099803674,,,0
BE,2011,2011,2011,1,0,4,Re-Import,32,Argentina,ARG,0,World,WLD,,,,,,,,1,Food and beverages,1,No Quantity,,,,,,,13803924,,,0
BE,2011,2011,2011,1,0,1,Import,36,Australia,AUS,0,World,WLD,,,,,,,,1,Food and beverages,1,No Quantity,,,,,,,11099178357,,,0
BE,2011,2011,2011,1,0,2,Export,36,Australia,AUS,0,World,WLD,,,,,,,,1,Food and beverages,1,No Quantity,,,,,,,27461647097,,,0
BE,2011,2011,2011,1,0,4,Re-Import,36,Australia,AUS,0,World,WLD,,,,,,,,1,Food and beverages,1,No Quantity,,,,,,,27569306,,,0
BE,2011,2011,2011,1,0,1,Import,40,Austria,AUT,0,World,WLD,,,,,,,,1,Food and beverages,1,No Quantity,,,,,,,11046176900,,,0
BE,2011,2011,2011,1,0,2,Export,40,Austria,AUT,0,World,WLD,,,,,,,,1,Food and beverages,1,No Quantity,,,,,,,10711888848,,,0
BE,2011,2011,2011,1,0,1,Import,44,Bahamas,BHS,0,World,WLD,,,,,,,,1,Food and beverages,1,No Quantity,,,,,,,523953770,,,0
BE,2011,2011,2011,1,0,2,Export,44,Bahamas,BHS,0,World,WLD,,,,,,,,1,Food and beverages,1,No Quantity,,,,,,,77073028,,,0
BE,2011,2011,2011,1,0,3,Re-Export,44,Bahamas,BHS,0,World,WLD,,,,,,,,1,Food and beverages,1,No Quantity,,,,,,,685170,,,0
BE,2011,2011,2011,1,0,1,Import,48,Bahrain,BHR,0,World,WLD,,,,,,,,1,Food and beverages,1,No Quantity,,,,,,,1298727166,,,0
BE,2011,2011,2011,1,0,2,Export,48,Bahrain,BHR,0,World,WLD,,,,,,,,1,Food and beverages,1,No Quantity,,,,,,,388661988,,,0
BE,2011,2011,2011,1,0,3,Re-Export,48,Bahrain,BHR,0,World,WLD,,,,,,,,1,Food and beverages,1,No Quantity,,,,,,,22727648,,,0
BE,2011,2011,2011,1,0,1,Import,50,Bangladesh,BGD,0,World,WLD,,,,,,,,1,Food and beverages,1,No Quantity,,,,,,,7787216172,,,0
BE,2011,2011,2011,1,0,2,Export,50,Bangladesh,BGD,0,World,WLD,,,,,,,,1,Food and beverages,1,No Quantity,,,,,,,858093475,,,0
BE,2011,2011,2011,1,0,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,1,Food and beverages,1,No Quantity,,,,,,,647806444,,,0
BE,2011,2011,2011,1,0,2,Export,51,Armenia,ARM,0,World,WLD,,,,,,,,1,Food and beverages,1,No Quantity,,,,,,,206866920,,,0
BE,2011,2011,2011,1,0,3,Re-Export,51,Armenia,ARM,0,World,WLD,,,,,,,,1,Food and beverages,1,No Quantity,,,,,,,21026328,,,0
